Team,Conference,Record,Wins,Games,Seed,AdjO,AdjD,AdjEM,Barthag,Adj_T,eFG%,Opp_eFG%,TO%,Opp_TO%,OR%,DR%,Opp_OR%,FTR,Opp_FTR,FT%,2P%,2P_%_D,3P%,3P_%_D,3P_Rate,3P_Rate_D,Blk_%,Blked_%,Ast_%,Op_Ast_%,SOS,Elite_SOS,WAB,Torvik_Rank,NET_Rank,Massey_Rank,CompRank,TRank_Early,RankTrajectory,AP_Poll_Rank,Luck,Coach_Tourney_Experience,Program_Prestige,Quad1_Wins,Last_10_Games_Metric,Conf_Tourney_Champion,Won_Play_In,Star_Player_Index,Exp,Bench_Minutes_Pct
Texas A&M,SEC,21-11,21,32,10.0,119.8892961981514,101.39118351306315,18.498112685088245,0.8729392251957435,71.0158608343569,54.2,50.8,14.6,18.3,32.3,67.5,32.5,37.4,35.6,72.6,54.1,53.1,36.2,31.7,46.3,41.5,8.9,11.5,61.3,56.3,69,0.6690467990299053,1.5905454049665226,39,43.0,35,39.0,32,-7,26,-0.2167,3,2.0,5.0,0.5,0.0,0,6.7,2.497,24.3
SMU,ACC,20-13,20,33,11.0,123.04567994859158,104.9726580763338,18.073021872257783,0.8613849862998983,68.62208707582035,55.7,51.4,15.9,17.1,35.4,68.4,31.6,30.6,32.0,70.7,55.5,52.0,37.4,33.9,36.0,47.2,11.2,7.6,55.1,60.6,34,0.6829262143131849,-0.0243484296364248,42,37.0,48,42.0,37,-5,26,-0.2553,4.5,2.0,4.0,0.5,0.0,0,7.0,2.034,9.6
Saint Louis,A10,28-5,28,33,9.0,119.56932042826288,102.22706412712776,17.342256301135123,0.8583980628078616,71.01390387539206,59.7,44.8,17.4,16.1,31.1,73.0,27.0,34.7,37.2,71.9,58.9,44.6,40.5,30.0,45.1,41.6,9.5,10.7,60.2,51.6,114,0.8373736465236084,1.863977011295308,43,29.0,51,43.0,22,-21,26,-0.0099,3,2.0,2.0,0.6,0.0,0,7.0,1.939,19.2
Texas,SEC,18-14,18,32,11.0,124.0565307090514,106.39320866225933,17.663322046792075,0.8540031071225773,67.09866522467256,54.2,51.2,15.3,13.4,35.7,73.1,26.9,46.2,40.7,68.6,55.3,49.8,34.9,36.0,36.2,33.3,7.4,10.5,43.1,45.8,71,0.632756826364107,-0.2109079435122388,45,42.0,39,45.0,41,-4,26,-0.2915,5.5,2.0,6.0,0.3,0.0,0,7.0,2.238,11.8
Missouri,SEC,20-12,20,32,10.0,119.9207353475796,103.02743803074772,16.893297316831877,0.8514614758760203,66.37969633009976,55.3,51.4,18.0,16.6,35.5,68.6,31.4,42.5,35.1,68.4,56.9,48.9,35.0,36.5,36.0,43.1,10.4,9.8,50.6,51.8,66,0.6561555526492676,1.150786188912313,46,58.0,41,46.0,49,3,26,-0.2265,3,2.0,5.0,0.5,0.0,0,7.0,2.282,18.8
VCU,A10,27-7,27,34,11.0,119.28514024337892,103.08826793831425,16.196872305064673,0.8426671582185461,68.68098165232902,54.1,48.9,15.2,17.2,32.3,70.1,29.9,43.7,33.1,69.4,53.3,48.4,36.7,33.1,43.8,34.7,11.3,8.9,52.7,50.3,102,0.7947816734156399,1.710562703127676,48,44.0,44,48.0,54,6,26,-0.0485,3,2.0,1.0,1.0,1.0,0,6.0,1.703,15.2
TCU,B12,22-11,22,33,9.0,114.84952242496828,99.65460074620084,15.194921678767445,0.8364426679759541,67.57960481950622,50.9,51.0,15.5,19.7,34.4,70.8,29.2,38.7,30.4,69.7,51.6,51.3,33.1,33.7,36.9,38.1,12.6,9.9,57.6,61.0,70,0.655627008537237,2.3662704132474994,49,38.0,36,49.0,51,2,26,-0.1698,5,2.0,5.0,0.9,0.0,0,6.4,1.807,8.9
South Florida,Amer,25-8,25,33,11.0,116.7846133757844,101.42185390013816,15.362759475646245,0.8350695959859539,71.40149162396509,50.9,48.4,15.2,18.8,38.2,68.2,31.8,41.1,38.8,72.9,51.9,46.7,33.1,33.9,43.8,39.5,10.9,13.3,58.8,51.3,105,0.8104760955455289,-0.2621781183917113,50,49.0,58,50.0,68,18,26,-0.0775,3,2.0,2.0,0.8,1.0,0,5.8,2.247,14.7
UCF,B12,21-11,21,32,10.0,119.99920041185504,105.6720247233694,14.32717568848564,0.8118637684708365,69.1160646053316,52.8,52.4,15.7,15.8,34.4,71.5,28.5,30.8,35.2,70.6,52.1,53.2,36.2,34.0,34.4,39.7,8.3,9.0,53.6,51.3,37,0.6549811509447337,2.113513965887793,57,52.0,42,57.0,52,-5,26,-0.1556,4,2.0,6.0,0.6,0.0,0,5.9,2.429,17.7
Northern Iowa,MVC,23-12,23,35,12.0,109.7112760877065,98.5820220532446,11.129254034461894,0.773832094996169,62.18687070218464,54.2,47.2,14.6,18.1,22.0,73.7,26.3,25.7,29.3,63.4,55.3,50.0,34.9,28.9,39.6,41.5,9.8,8.1,57.1,49.3,120,0.8448756233589643,-5.2780744033435205,70,71.0,93,70.0,82,12,26,-0.1167,4,2.0,0.0,0.7,1.0,0,6.2,2.321,13.5
Akron,MAC,29-5,29,34,12.0,117.16513620389094,105.33708783237108,11.828048371519856,0.7727344161547253,70.32074100784978,58.5,50.6,15.5,18.4,33.5,70.1,29.9,29.1,30.3,71.2,59.1,49.0,38.5,35.1,45.1,43.2,8.4,8.3,57.4,50.8,240,0.8793258885291031,-0.2027899199165116,71,53.0,70,71.0,71,0,26,0.0802,3,2.0,0.0,0.9,1.0,0,6.5,2.447,13.5
McNeese St.,Slnd,28-5,28,33,12.0,113.15804425411054,102.17324155839177,10.98480269571877,0.7639267747705819,66.13607262561543,51.0,48.9,14.3,24.6,35.0,65.0,35.0,38.3,42.1,66.5,52.9,49.1,31.6,32.5,35.1,46.8,15.8,6.7,49.2,57.2,198,0.851446386804174,0.7043079408177202,73,56.0,87,73.0,80,7,26,0.0846,3,2.0,0.0,0.9,1.0,0,5.7,1.919,18.4
Miami OH,MAC,31-1,31,32,11.0,116.6867050849028,107.58695552934591,9.099749555556883,0.7178297469148132,69.94164853469331,59.2,50.8,14.5,17.5,25.3,71.9,28.1,40.2,30.9,71.3,61.5,51.6,37.5,33.0,44.6,36.8,8.1,7.8,51.0,46.6,288,0.9149854012301116,2.455973442431614,86,64.0,66,86.0,79,-7,26,0.2509,3,2.0,0.0,0.9,0.0,0,6.8,1.693,14.0
Hofstra,CAA,24-10,24,34,13.0,113.19010490875948,104.95516448206033,8.234940426699154,0.7044664201598472,64.71380018204498,51.5,45.9,16.1,15.0,34.9,69.5,30.5,32.5,35.4,65.3,48.6,44.2,36.8,32.3,43.1,40.6,10.4,10.6,48.5,55.2,190,0.8730819371437216,-4.6703042373391135,91,88.0,115,91.0,109,18,26,0.0014,3,2.0,0.0,0.9,1.0,0,5.9,1.895,9.0
High Point,BSth,30-4,30,34,12.0,115.6813531473048,107.52003093667972,8.161322210625087,0.698752906718874,69.88909815604822,54.7,50.1,13.0,21.9,32.1,68.3,31.7,42.9,36.4,70.9,57.1,51.6,34.4,31.9,42.9,41.4,11.0,10.4,52.7,51.9,345,0.932853777327996,-1.4283540974957107,93,75.0,89,93.0,99,6,26,0.1836,6,2.0,0.0,1.0,1.0,0,5.6,2.541,20.4
Cal Baptist,WAC,25-8,25,33,13.0,107.493194178298,100.32045138983328,7.172742788464717,0.6887252646981852,65.93115332651749,48.6,46.4,18.1,17.1,37.8,72.8,27.2,36.1,37.1,67.4,47.7,47.3,33.7,29.7,32.1,31.7,7.5,9.6,40.4,46.0,167,0.8604583253027357,-2.3073077151507206,96,100.0,102,96.0,116,20,26,0.0689,3,2.0,0.0,0.7,1.0,0,5.5,2.169,16.4
North Dakota St.,Sum,27-7,27,34,14.0,111.4590425755922,106.04885654895814,5.410186026634065,0.6392727051815638,66.3569332396378,53.4,51.5,15.6,18.7,33.6,74.3,25.7,30.7,29.1,68.0,53.2,52.6,35.7,33.5,42.7,44.4,9.0,9.0,53.0,55.1,291,0.9091694030441004,-3.3558865219438068,114,115.0,111,114.0,122,8,26,0.1548,3,2.0,0.0,0.9,1.0,0,5.4,1.834,12.4
Hawaii,BW,24-8,24,32,13.0,106.90102196791943,101.84645404966123,5.054567918258201,0.6357641562379068,69.5809991981123,52.0,46.4,18.9,16.9,31.4,75.0,25.0,42.4,36.1,72.3,55.0,46.6,31.6,30.7,39.7,32.4,10.1,8.5,49.9,38.3,226,0.8901296020233075,-3.738922798201396,116,105.0,118,116.0,97,-19,26,0.1142,3,2.0,0.0,0.8,1.0,0,6.0,2.599,14.5
Wright St.,Horz,23-11,23,34,14.0,112.40921776373833,109.0270261319282,3.38219163181013,0.5869392553494839,66.97687066573965,54.4,52.1,16.3,16.5,33.2,70.8,29.2,38.0,33.5,69.0,54.5,52.9,36.1,33.6,33.7,34.2,11.4,9.0,47.0,44.6,236,0.8916411591622074,-6.569456976026632,130,127.0,136,130.0,118,-12,26,0.0895,3,2.0,0.0,0.7,1.0,0,5.3,1.245,16.5
