Team,Seed,Conference,Conf_Strength_Weight,AdjEM,AdjO,AdjD,Barthag,Record,Wins,Games,eFG%,Opp_eFG%,3P%,2P%,TO%,Opp_TO%,AST_TO,OR%,DR%,FTR,Opp_FTR,Tempo,Raw_T,SOS,FT%,Opp_FT%,Quad1_Wins,Last_10_Games_Metric,Star_Player_Index,Bench_Minutes_Pct,PAKE,PASE,Talent,KenPom_Rank,Torvik_Rank,Massey_Rank,NET_Rank,2P_%_D,3P_%_D,Blk_%,Blked_%,Ast_%,Op_Ast_%,3P_Rate,3P_Rate_D,Adj_T,Avg_Hgt,Eff_Hgt,Exp,PPP_Off,PPP_Def,Elite_SOS
Drake,12,Missouri Valley,0.84,14.0,112.5,98.5,0.823,28-3,28,31,53.8,51.7,35.0,54.3,18.6,22.1,1.58,36.0,89.0,43.0,35.8,66.0,59.5,12.6,70.7,72.1,3,0.80,9,25,0,0,0.2,48,58,100,100,54.3,31.8,8.5,7.7,54.2,48.0,36.8,39.1,58.599,77.41,79.116,2.226,1.132,0.984,12.625
Memphis,9,American,0.83,12.9,111.7,98.8,0.806,29-5,29,34,53.6,48.5,38.0,52.0,19.2,19.1,1.18,35.1,70.9,33.6,30.2,73.0,71.4,23.0,70.2,71.1,3,0.82,8,30,0,0,53.401,49,61,63,61,48.6,32.2,13.1,9.4,52.0,54.1,33.1,40.7,70.654,77.013,80.871,2.425,1.112,1.016,23.012
McNeese,12,Southland,0.77,6.6,113.4,106.8,0.796,25-6,25,31,53.3,47.5,35.6,46.9,16.2,21.6,1.25,34.7,68.4,35.7,31.4,72.0,65.8,12.8,70.7,70.9,1,0.70,6,35,0,0,25.961,50,63,300,300,46.9,32.2,11.8,8.8,50.1,55.0,36.7,46.6,65.249,76.833,78.891,2.515,1.144,0.974,12.768
Yale,13,Ivy League,0.87,10.2,113.9,103.7,0.746,21-7,21,28,54.8,48.8,38.5,47.3,14.4,16.1,1.58,33.2,77.7,31.8,28.7,68.0,68.8,11.6,73.6,76.6,1,0.80,8,32,0,0,9.807,51,79,82,82,47.3,33.7,11.8,7.6,53.4,58.8,32.0,48.0,67.208,77.67,79.601,1.876,1.178,1.026,11.606
Grand Canyon,13,WAC,0.83,8.5,108.5,100.0,0.732,25-7,25,32,51.2,47.0,32.6,54.3,18.4,19.1,1.42,32.5,67.8,43.9,32.2,70.0,72.6,10.4,73.5,73.1,0,0.75,7,33,0,0,26.711,52,83,88,93,46.4,32.1,13.0,8.7,52.1,48.4,33.6,34.4,71.467,77.889,80.515,2.47,1.077,0.956,10.398
High Point,13,Big South,0.78,6.6,117.7,111.1,0.726,27-5,27,32,56.4,49.1,33.8,48.9,15.3,16.5,1.24,34.0,63.7,37.6,36.3,75.0,67.2,7.0,76.4,70.5,0,0.72,6,36,0,0,17.054,53,85,83,85,48.9,32.9,7.2,8.0,44.9,43.1,39.0,36.0,66.472,77.06,80.787,2.445,1.211,1.045,6.978
Akron,13,MAC,0.84,6.9,113.7,106.8,0.672,26-6,26,32,55.4,49.5,36.6,50.6,16.6,17.2,1.46,33.3,82.8,26.8,33.7,65.0,72.4,9.8,74.9,73.0,1,0.73,8,30,0,0,16.228,54,91,104,104,50.6,31.9,9.8,7.0,58.5,44.7,45.4,38.0,71.176,75.063,77.508,2.383,1.156,1.045,9.759
Lipscomb,14,ASUN,0.83,6.0,110.7,104.0,0.672,23-9,23,32,55.9,48.6,36.7,49.9,14.4,15.9,1.49,24.0,73.5,34.0,22.3,70.0,67.3,11.7,79.6,67.1,0,0.71,6,34,0,0,0.2,55,84,97,97,49.9,31.0,7.7,10.1,54.4,39.5,47.4,37.2,66.081,76.309,80.035,2.583,1.15,1.003,11.694
Troy,14,Sun Belt,0.79,3.5,110.7,107.2,0.661,21-10,21,31,48.6,50.7,31.0,50.0,18.6,22.1,1.37,26.5,68.2,31.1,35.3,68.0,66.8,14.1,72.6,72.2,0,0.68,5,36,0,0,0.2,56,99,98,98,46.2,32.6,12.8,10.3,55.6,51.0,44.8,38.1,66.137,77.8,80.146,1.661,1.084,0.988,14.121
UNC Wilmington,14,Coastal Athletic,0.78,5.4,112.2,106.8,0.639,25-7,25,32,52.2,50.9,33.1,47.7,16.0,17.4,1.36,35.4,68.2,31.8,33.6,68.0,66.3,8.7,75.3,68.1,0,0.70,6,34,0,0,0.2,57,102,86,109,50.4,34.4,10.6,9.5,54.4,48.3,36.2,42.6,65.132,77.644,80.484,2.555,1.146,1.045,8.683
Montana,14,Big Sky,0.78,3.0,112.0,109.0,0.578,22-9,22,31,56.4,52.2,33.7,53.1,16.2,15.5,1.20,22.6,68.1,36.2,31.9,66.0,67.5,15.1,74.6,74.0,1,0.65,5,35,0,0,0.2,58,131,142,142,53.1,33.7,8.1,8.5,49.3,45.6,36.8,35.0,66.985,76.552,78.532,2.148,1.114,1.102,15.101
Robert Morris,15,Horizon League,0.82,6.5,105.9,99.4,0.524,25-8,25,33,51.3,50.3,34.9,50.7,18.5,18.8,1.25,35.3,70.8,30.0,28.7,66.0,68.7,8.2,72.0,72.6,0,0.60,5,35,0,0,0.2,59,139,148,148,49.8,34.2,11.9,9.4,60.7,51.4,36.8,35.6,67.899,76.665,79.54,1.898,1.098,1.016,8.247
Wofford,15,Southern,0.85,1.8,111.5,109.7,0.547,17-15,17,32,53.3,51.8,36.9,50.0,16.9,14.9,1.30,35.5,66.7,35.5,27.6,68.0,64.6,12.7,66.8,69.2,0,0.62,7,32,0,0,0.2,60,131,156,145,51.8,34.5,8.8,9.7,55.0,49.3,47.7,45.8,63.93,76.156,79.167,2.088,1.128,1.086,12.682
Bryant,15,America East,0.81,0.0,105.8,105.8,0.511,21-11,21,32,53.3,49.7,35.3,49.0,14.6,16.3,1.18,34.0,75.7,37.6,30.0,75.0,73.2,9.3,71.8,72.0,0,0.50,6,30,0,0,33.52,61,141,140,141,47.3,32.2,14.8,5.7,48.7,42.9,34.8,36.0,72.335,78.792,80.395,2.502,1.095,1.015,9.31
Omaha,15,Summit League,0.80,-0.2,112.2,112.4,0.596,20-12,20,32,53.5,53.1,35.1,53.5,15.7,14.9,1.23,29.2,73.5,36.4,37.7,72.0,69.1,13.0,73.3,71.9,0,0.45,5,36,0,0,0.2,62,142,132,133,53.5,35.1,7.3,8.3,49.5,51.5,38.6,44.5,67.694,77.229,79.995,2.432,1.126,1.1,13.045
Norfolk St.,16,MEAC,0.75,0.5,106.2,105.7,0.425,21-10,21,31,52.4,49.7,38.5,47.3,18.3,16.4,1.19,33.8,72.9,39.0,34.9,70.0,67.4,12.0,75.3,71.0,0,0.60,7,34,0,0,7.466,63,195,114,195,48.9,33.9,9.0,9.3,49.3,59.2,27.7,42.7,66.306,76.741,80.249,2.602,1.103,1.046,12.001
American,16,Patriot League,0.78,-5.1,101.2,106.3,0.335,20-12,20,32,51.8,52.1,35.8,53.4,16.8,17.6,1.14,23.8,74.6,25.4,31.4,64.0,63.7,8.8,75.9,69.2,0,0.52,5,35,0,0,0.2,64,244,164,226,53.1,33.6,5.3,9.5,52.1,50.4,44.8,35.7,63.442,76.377,79.635,2.039,1.045,1.052,8.755
SIU Edwardsville,16,Ohio Valley,0.78,-10.8,101.5,112.3,0.38,19-11,19,30,51.0,52.5,34.5,47.8,18.3,16.6,1.17,25.4,73.8,35.7,31.1,72.0,67.2,8.2,67.9,70.3,0,0.48,5,36,0,0,7.282,65,218,155,216,46.3,33.0,11.5,8.0,51.4,48.7,36.3,38.6,65.8,77.165,80.792,2.225,1.043,1.004,8.164
Mount St. Mary's,16,MAAC,0.77,-12.5,99.4,111.9,0.29,21-12,21,33,51.0,48.0,34.9,47.2,21.7,15.9,1.15,25.4,74.0,31.0,26.7,62.0,67.5,8.9,73.0,73.8,0,0.45,6,32,0,0,0.853,66,263,200,226,48.7,31.4,7.9,9.5,60.6,52.3,41.0,44.5,67.317,77.043,80.419,2.013,1.014,1.022,8.934
Alabama St.,16,SWAC,0.76,-19.3,100.6,119.9,0.27,18-15,18,33,50.8,56.9,32.5,46.8,18.0,18.3,1.25,23.3,76.7,22.2,31.4,70.0,69.1,11.6,69.8,69.9,0,0.40,5,36,0,0,4.049,67,274,274,274,50.4,33.4,8.4,9.1,45.4,50.3,42.9,39.5,67.626,76.5,79.666,2.346,1.041,1.046,11.608
Saint Francis,16,Northeast,0.77,-12.1,99.9,112.0,0.211,13-17,13,30,51.6,53.4,35.8,53.1,19.6,16.4,0.95,25.4,74.6,23.8,28.7,72.0,67.2,12.8,72.5,74.5,0,0.42,5,34,0,0,0.2,68,301,340,297,53.4,32.3,6.7,9.3,50.3,51.0,41.9,43.2,67.172,76.305,78.644,1.173,1.001,1.081,12.764
